timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610139514893,617,Home Page,200,OK,Scenario 1 1-1,text,true,,51151,313,1,1,http://192.168.1.10:5005/,221,0,117
1610139515533,259,dashboard,200,OK,Scenario 1 1-1,text,true,,12429,322,1,1,http://192.168.1.10:5005/dashboard,178,0,89
1610139515892,295,Home Page,200,OK,Scenario 1 1-2,text,true,,51151,313,2,2,http://192.168.1.10:5005/,161,0,48
1610139516190,65,dashboard,200,OK,Scenario 1 1-2,text,true,,12429,322,2,2,http://192.168.1.10:5005/dashboard,62,0,32
1610139516259,263,Buat Instance,200,OK,Scenario 1 1-2,text,true,,15626,321,2,2,http://192.168.1.10:5005/buatbaru,240,0,8
1610139515793,730,Buat Instance,200,OK,Scenario 1 1-1,text,true,,15626,321,2,2,http://192.168.1.10:5005/buatbaru,319,0,49
1610139516892,156,Home Page,200,OK,Scenario 1 1-3,text,true,,51151,313,3,3,http://192.168.1.10:5005/,67,0,21
1610139517049,44,dashboard,200,OK,Scenario 1 1-3,text,true,,12429,322,3,3,http://192.168.1.10:5005/dashboard,40,0,9
1610139517094,268,Buat Instance,200,OK,Scenario 1 1-3,text,true,,15626,321,3,3,http://192.168.1.10:5005/buatbaru,245,0,33
1610139517529,112,Page Returning 404,404,NOT FOUND,Scenario 1 1-2,text,true,,393,317,3,3,http://192.168.1.10:5005/test,112,0,64
1610139517625,58,Page Returning 404,404,NOT FOUND,Scenario 1 1-1,text,true,,393,317,3,3,http://192.168.1.10:5005/test,58,0,27
1610139517642,281,Home Page,200,OK,Scenario 1 1-2,text,true,,51151,313,4,4,http://192.168.1.10:5005/,87,0,35
1610139517685,387,Home Page,200,OK,Scenario 1 1-1,text,true,,51151,313,4,4,http://192.168.1.10:5005/,111,0,44
1610139517924,223,dashboard,200,OK,Scenario 1 1-2,text,true,,12429,322,4,4,http://192.168.1.10:5005/dashboard,153,0,83
1610139518073,129,dashboard,200,OK,Scenario 1 1-1,text,true,,12429,322,4,4,http://192.168.1.10:5005/dashboard,128,0,70
1610139517891,338,Home Page,200,OK,Scenario 1 1-4,text,true,,51151,313,4,4,http://192.168.1.10:5005/,201,0,116
1610139518230,65,dashboard,200,OK,Scenario 1 1-4,text,true,,12429,322,4,4,http://192.168.1.10:5005/dashboard,65,0,19
1610139518148,350,Buat Instance,200,OK,Scenario 1 1-2,text,true,,15626,321,4,4,http://192.168.1.10:5005/buatbaru,313,0,52
1610139518431,91,Page Returning 404,404,NOT FOUND,Scenario 1 1-3,text,true,,393,317,4,4,http://192.168.1.10:5005/test,90,0,49
1610139518203,340,Buat Instance,200,OK,Scenario 1 1-1,text,true,,15626,321,4,4,http://192.168.1.10:5005/buatbaru,304,0,27
1610139518523,261,Home Page,200,OK,Scenario 1 1-3,text,true,,51151,313,4,4,http://192.168.1.10:5005/,122,0,47
1610139518785,62,dashboard,200,OK,Scenario 1 1-3,text,true,,12429,322,4,4,http://192.168.1.10:5005/dashboard,62,0,17
1610139518892,211,Home Page,200,OK,Scenario 1 1-5,text,true,,51151,313,5,5,http://192.168.1.10:5005/,91,0,41
1610139518848,322,Buat Instance,200,OK,Scenario 1 1-3,text,true,,15626,321,5,5,http://192.168.1.10:5005/buatbaru,289,0,46
1610139519104,71,dashboard,200,OK,Scenario 1 1-5,text,true,,12429,322,5,5,http://192.168.1.10:5005/dashboard,68,0,19
1610139518296,1147,Buat Instance,200,OK,Scenario 1 1-4,text,true,,15626,321,5,5,http://192.168.1.10:5005/buatbaru,1107,0,23
1610139519176,291,Buat Instance,200,OK,Scenario 1 1-5,text,true,,15626,321,5,5,http://192.168.1.10:5005/buatbaru,267,0,36
